ID,Title,Abstract,Authors,Source_title
0,Large fluctuations in multi-scale modeling for rest hematopoiesis,Hematopoiesis is a biological phenomenon  process  of production of mature blood cells by cellular differentiation  It is based on amplification steps due to an interplay between renewal and differentiation in the successive cell types from stem cells to mature blood cells  We will study this mechanism with a stochastic point of view to explain unexpected fluctuations on the mature blood cell number  as surprisingly observed by biologists and medical doctors in a rest hematopoiesis  We consider three cell types  stem cells  progenitors and mature blood cells  Each cell type is characterized by its own dynamics parameters  the division rate and the renewal and differentiation probabilities at each division event  We model the global population dynamics by a three dimensional stochastic decomposable branching process  We show that the amplification mechanism is given by the inverse of the small difference between the differentiation and renewal probabilities  Introducing a parameter K which scales simultaneously the size of the first component  the differentiation and renewal probabilities and the mature blood cell death rate  we describe the asymptotic behavior of the process for large K  We show that each cell type has its own size and time scales  Focusing on the third component  we prove that the mature blood cell population size  conveniently renormalized  in time and size   is expanded in an unusual way inducing large fluctuations  The proofs are based on a fine study of the different scales involved in the model and on the use of different convergence and average techniques in the proofs     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Bonnet C.; Méléard S.,Journal of Mathematical Biology
1,Haldane’s formula in Cannings models: the case of moderately strong selection,For a class of Cannings models we prove Haldane s formula    sN   sN    for the fixation probability of a single beneficial mutant in the limit of large population size N and in the regime of moderately strong selection  i e  for sN  N b and 0   b         Here  sN is the selective advantage of an individual carrying the beneficial type  and    is the  asymptotic  offspring variance  Our assumptions on the reproduction mechanism allow for a coupling of the beneficial allele s frequency process with slightly supercritical Galton Watson processes in the early phase of fixation     0    The Author s  ,Boenkost F.; González Casanova A.; Pokalyuk C.; Wakolbinger A.,Journal of Mathematical Biology
2,Vaccination and herd immunity thresholds in heterogeneous populations,It has been suggested  without rigorous mathematical analysis  that the classical vaccine induced herd immunity threshold  HIT  assuming a homogeneous population can be substantially higher than the minimum HIT obtained when considering population heterogeneities  We investigated this claim by developing  and rigorously analyzing  a vaccination model that incorporates various forms of heterogeneity and compared it with a model that considers a homogeneous population  By employing a two group vaccination model in heterogeneous populations  we theoretically established conditions under which heterogeneity leads to different HIT values  depending on the relative values of the contact rates for each group  the type of mixing between the groups  the relative vaccine efficacy  and the relative population size of each group  For example  under biased random mixing assumption and when vaccinating a given group results in disproportionate prevention of higher transmission per capita  we show that it is optimal to vaccinate that group before vaccinating the other groups  We also found situations  under biased assortative mixing assumption  where it is optimal to vaccinate more than one group  We show that regardless of the form of mixing between the groups  the HIT values assuming a heterogeneous population are always lower than the HIT values obtained from a corresponding model with a homogeneous population  Using realistic numerical examples and parametrization  e g   assuming assortative mixing together with vaccine efficacy of 9   and the value of the basic reproduction number  R  of the model set at R        we demonstrate that the HIT value generated from a model that considers population heterogeneity  e g   biased assortative mixing  is significantly lower   0   compared with a HIT value of     obtained if the model uses homogeneous population     0    Springer Verlag GmbH Germany  part of Springer Nature ,Elbasha E.H.; Gumel A.B.,Journal of Mathematical Biology
3,Mathematical modeling of forest ecosystems by a reaction–diffusion–advection system: impacts of climate change and deforestation,We present an innovative mathematical model for studying the dynamics of forest ecosystems  Our model is determined by an age structured reaction diffusion advection system in which the roles of the water resource and of the atmospheric activity are considered  The model is abstract but constructed in such a manner that it can be applied to real world forest areas  thus it allows to establish an infinite number of scenarios for testing the robustness and resilience of forest ecosystems to anthropic actions or to climate change  We establish the well posedness of the reaction diffusion advection model by using the method of characteristics and by reducing the initial system to a reaction diffusion problem  The existence and stability of stationary homogeneous and stationary heterogeneous solutions are investigated  so as to prove that the model is able to reproduce relevant equilibrium states of the forest ecosystem  We show that the model fits with the principle of almost uniform precipitation over forested areas and of exponential decrease of precipitation over deforested areas  Furthermore  we present a selection of numerical simulations for an abstract forest ecosystem  in order to analyze the stability of the steady states  to investigate the impact of anthropic perturbations such as deforestation and to explore the effects of climate change on the dynamics of the forest ecosystem     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Cantin G.; Ducrot A.; Funatsu B.M.,Journal of Mathematical Biology
4,Modelling the interplay between the CD4 + /CD8 + T-cell ratio and the expression of MHC-I in tumours,Describing the anti tumour immune response as a series of cellular kinetic reactions from known immunological mechanisms  we create a mathematical model that shows the CD + CD + T cell ratio  T cell infiltration and the expression of MHC I to be interacting factors in tumour elimination  Methods from dynamical systems theory and non equilibrium statistical mechanics are used to model the T cell dependent anti tumour immune response  Our model predicts a critical level of MHC I expression which determines whether or not the tumour escapes the immune response  This critical level of MHC I depends on the helper cytotoxic T cell ratio  However  our model also suggests that the immune system is robust against small changes in this ratio  We also find that T cell infiltration and the specificity of the intra tumour TCR repertoire will affect the critical MHC I expression  Our work suggests that the functional form of the time evolution of MHC I expression may explain the qualitative behaviour of tumour growth seen in patients     0    The Author s  ,Hurry C.J.; Mozeika A.; Annibale A.,Journal of Mathematical Biology
5,The structure of infinitesimal homeostasis in input–output networks,Homeostasis refers to a phenomenon whereby the output xo of a system is approximately constant on variation of an input I  Homeostasis occurs frequently in biochemical networks and in other networks of interacting elements where mathematical models are based on differential equations associated to the network  These networks can be abstracted as digraphs G with a distinguished input node    a different distinguished output node o  and a number of regulatory nodes          n  In these models the input output map xo I  is defined by a stable equilibrium X at I  Stability implies that there is a stable equilibrium X I  for each I near I and infinitesimal homeostasis occurs at I when  dxo  dI   I    0  We show that there is an  n+       n+    homeostasis matrixH I  for which dxo  dI  0 if and only if det  H    0  We note that the entries in H are linearized couplings and det  H  is a homogeneous polynomial of degree n+   in these entries  We use combinatorial matrix theory to factor the polynomial det  H  and thereby determine a menu of different types of possible homeostasis associated with each digraph G  Specifically  we prove that each factor corresponds to a subnetwork of G  The factors divide into two combinatorially defined classes  structural and appendage  Structural factors correspond to feedforward motifs and appendage factors correspond to feedback motifs  Finally  we discover an algorithm for determining the homeostasis subnetwork motif corresponding to each factor of det  H  without performing numerical simulations on model equations  The algorithm allows us to classify low degree factors of det  H   There are two types of degree   homeostasis  negative feedback loops and kinetic or Haldane motifs  and there are two types of degree   homeostasis  feedforward loops and a degree two appendage motif      0    The Author s  ,Wang Y.; Huang Z.; Antoneli F.; Golubitsky M.,Journal of Mathematical Biology
6,Bayesian inversion of a diffusion model with application to biology,A common task in experimental sciences is to fit mathematical models to real world measurements to improve understanding of natural phenomenon  reverse engineering or inverse modelling   When complex dynamical systems are considered  such as partial differential equations  this task may become challenging or ill posed  In this work  a linear parabolic equation is considered as a model for protein transcription from MRNA  The objective is to estimate jointly the differential operator coefficients  namely the rates of diffusion and self regulation  as well as a functional source  The recent Bayesian methodology for infinite dimensional inverse problems is applied  providing a unique posterior distribution on the parameter space continuous in the data  This posterior is then summarized using a Maximum a Posteriori estimator  Finally  the theoretical solution is illustrated using a state of the art MCMC algorithm adapted to this non Gaussian setting     0    The Author s  ,Croix J.-C.; Durrande N.; Alvarez M.A.,Journal of Mathematical Biology
7,A geometric analysis of the SIRS epidemiological model on a homogeneous network,We study a fast slow version of an SIRS epidemiological model on homogeneous graphs  obtained through the application of the moment closure method  We use GSPT to study the model  taking into account that the infection period is much shorter than the average duration of immunity  We show that the dynamics occurs through a sequence of fast and slow flows  that can be described through   dimensional maps that  under some assumptions  can be approximated as   dimensional maps  Using this method  together with numerical bifurcation tools  we show that the model can give rise to periodic solutions  differently from the corresponding model based on homogeneous mixing     0    The Author s  ,Jardón-Kojakhmetov H.; Kuehn C.; Pugliese A.; Sensi M.,Journal of Mathematical Biology
8,Hive geometry shapes the recruitment rate of honeybee colonies,Honey bees make decisions regarding foraging and nest site selection in groups ranging from hundreds to thousands of individuals  To effectively make these decisions  bees need to communicate within a spatially distributed group  However  the spatiotemporal dynamics of honey bee communication have been mostly overlooked in models of collective decisions  focusing primarily on mean field models of opinion dynamics  We analyze how the spatial properties of the nest or hive  and the movement of individuals with different belief states  uncommitted or committed  therein affect the rate of information transmission using spatially extended models of collective decision making within a hive  Honeybees waggle dance to recruit conspecifics with an intensity that is a threshold nonlinear function of the waggler concentration  Our models range from treating the hive as a chain of discrete patches to a continuous line  long narrow hive   The combination of population thresholded recruitment and compartmentalized populations generates tradeoffs between rapid information propagation with strong population dispersal and recruitment failures resulting from excessive population diffusion and also creates an effective colony level signal detection mechanism whereby recruitment to low quality objectives is blocked     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Bidari S.; Kilpatrick Z.P.,Journal of Mathematical Biology
9,Stochastic models of infectious diseases in a periodic environment with application to cholera epidemics,Seasonal variation affects the dynamics of many infectious diseases including influenza  cholera and malaria  The time when infectious individuals are first introduced into a population is crucial in predicting whether a major disease outbreak occurs  In this investigation  we apply a time nonhomogeneous stochastic process for a cholera epidemic with seasonal periodicity and a multitype branching process approximation to obtain an analytical estimate for the probability of an outbreak  In particular  an analytic estimate of the probability of disease extinction is shown to satisfy a system of ordinary differential equations which follows from the backward Kolmogorov differential equation  An explicit expression for the mean  resp  variance  of the first extinction time given an extinction occurs is derived based on the analytic estimate for the extinction probability  Our results indicate that the probability of a disease outbreak  and mean and standard derivation of the first time to disease extinction are periodic in time and depend on the time when the infectious individuals or free living pathogens are introduced  Numerical simulations are then carried out to validate the analytical predictions using two examples of the general cholera model  At the end  the developed theoretical results are extended to more general models of infectious diseases     0    The Author s   under exclusive licence to Springer Verlag GmbH Germany  part of Springer Nature ,Allen L.J.S.; Wang X.,Journal of Mathematical Biology
